iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	1.094970941543579	0.36328125	256899	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
1	1.0957536697387695	0.35546875	256899	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
2	1.1016002893447876	0.30859375	256899	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
3	1.0968012809753418	0.3671875	256899	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
4	1.1003590822219849	0.35546875	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
5	1.105475664138794	0.3359375	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
6	1.1032776832580566	0.3125	256899	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
7	1.0966168642044067	0.34375	256899	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
8	1.100217580795288	0.29296875	256899	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
9	1.0956937074661255	0.34375	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
10	1.0989995002746582	0.3125	256899	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
11	1.0925095081329346	0.36328125	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
12	1.094628930091858	0.35546875	256899	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
13	1.093438744544983	0.34375	256899	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
14	1.0975842475891113	0.30078125	256899	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
15	1.0912983417510986	0.34765625	256899	0.26953125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
16	1.0892244577407837	0.38671875	256899	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
17	1.0956541299819946	0.31640625	256899	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
18	1.0814136266708374	0.46875	256899	0.265625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
19	1.1040335893630981	0.3515625	256899	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
20	1.0976848602294922	0.40625	256899	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
21	1.0904192924499512	0.34375	256899	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
22	1.088496208190918	0.375	256899	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
23	1.1009260416030884	0.328125	256899	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
24	1.0892693996429443	0.33203125	256899	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
25	1.0835098028182983	0.46484375	256899	0.328125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
26	1.0845623016357422	0.421875	256899	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
