iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	0.6923967003822327	0.5234375	256770	0.4765625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
1	0.6948627829551697	0.48828125	256770	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
2	0.6928187608718872	0.5234375	256770	0.4765625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
3	0.6997991800308228	0.48046875	256770	0.48046875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
4	0.6961065530776978	0.46875	256770	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
5	0.6929503083229065	0.48046875	256770	0.48046875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
6	0.6928694248199463	0.49609375	256770	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
7	0.6960576772689819	0.46875	256770	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
8	0.6917584538459778	0.5078125	256770	0.4921875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
9	0.6907525658607483	0.5234375	256770	0.4765625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
10	0.6930755972862244	0.4765625	256770	0.4765625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
11	0.6883647441864014	0.578125	256770	0.421875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
12	0.6916616559028625	0.5	256770	0.5	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
13	0.6897707581520081	0.515625	256770	0.484375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
14	0.6920916438102722	0.4921875	256770	0.4921875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
15	0.6908550262451172	0.5	256770	0.5	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
16	0.6909105181694031	0.48828125	256770	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
17	0.6933910250663757	0.4453125	256770	0.4453125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
18	0.687443733215332	0.53125	256770	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
19	0.6902967095375061	0.44140625	256770	0.44140625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
20	0.6877879500389099	0.62890625	256770	0.4921875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
21	0.6885214447975159	0.609375	256770	0.45703125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
22	0.6874974370002747	0.6796875	256770	0.47265625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
23	0.6860478520393372	0.703125	256770	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
24	0.6854230761528015	0.65234375	256770	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
25	0.6810426712036133	0.55859375	256770	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
26	0.6762036085128784	0.55078125	256770	0.44921875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
27	0.6906769871711731	0.49609375	256770	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
28	0.6852564215660095	0.4921875	256770	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
29	0.6777840256690979	0.5234375	256770	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
30	0.671349048614502	0.73828125	256770	0.4609375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
31	0.6795154809951782	0.54296875	256770	0.4921875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
32	0.6783837676048279	0.5390625	256770	0.484375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
33	0.6710379719734192	0.66796875	256770	0.45703125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
34	0.6671515107154846	0.703125	256770	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
35	0.6742825508117676	0.5078125	256770	0.484375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
36	0.6626689434051514	0.52734375	256770	0.4765625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
37	0.6537194848060608	0.6875	256770	0.453125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
38	0.6550434231758118	0.73828125	256770	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
39	0.6499879360198975	0.69140625	256770	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
40	0.64783775806427	0.6796875	256770	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
