iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	1.0998249053955078	0.28515625	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
1	1.0966217517852783	0.35546875	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
2	1.1021815538406372	0.30859375	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
3	1.1037572622299194	0.30859375	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
4	1.1004694700241089	0.34765625	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
5	1.098068356513977	0.37109375	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
6	1.0975292921066284	0.3359375	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
7	1.0957250595092773	0.37890625	76675	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
8	1.0988388061523438	0.29296875	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
9	1.0962350368499756	0.3515625	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
10	1.0965697765350342	0.34765625	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
11	1.0959585905075073	0.328125	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
12	1.0982993841171265	0.4140625	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
13	1.0925989151000977	0.44140625	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
14	1.0963935852050781	0.328125	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
15	1.0886279344558716	0.4453125	76675	0.26953125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
16	1.087768793106079	0.4921875	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
17	1.0954036712646484	0.34375	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
18	1.0820279121398926	0.5703125	76675	0.265625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
