iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	1.0979114770889282	0.36328125	256899	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
1	1.0963211059570312	0.35546875	256899	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
2	1.1046597957611084	0.359375	256899	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
3	1.1014909744262695	0.32421875	256899	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
4	1.0985510349273682	0.3203125	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
5	1.1004084348678589	0.3359375	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
6	1.1041076183319092	0.3125	256899	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
7	1.0932568311691284	0.34375	256899	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
8	1.101697564125061	0.29296875	256899	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
9	1.096574306488037	0.34375	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
10	1.096871256828308	0.3125	256899	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
11	1.0943355560302734	0.359375	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
12	1.096028447151184	0.31640625	256899	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
13	1.0951734781265259	0.38671875	256899	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
14	1.0929206609725952	0.41015625	256899	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
15	1.0896191596984863	0.43359375	256899	0.26953125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
16	1.0893585681915283	0.3359375	256899	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
17	1.0934535264968872	0.36328125	256899	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
18	1.0762616395950317	0.40625	256899	0.265625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
19	1.101793885231018	0.3203125	256899	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
20	1.0924814939498901	0.34375	256899	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
21	1.0735453367233276	0.51953125	256899	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
22	1.0858739614486694	0.40625	256899	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
23	1.1139447689056396	0.3359375	256899	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
24	1.0889313220977783	0.390625	256899	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
25	1.0844099521636963	0.359375	256899	0.328125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
26	1.07440984249115	0.45703125	256899	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
27	1.0726298093795776	0.45703125	256899	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
28	1.0808371305465698	0.3515625	256899	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
29	1.085599660873413	0.36328125	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
30	1.057065486907959	0.4453125	256899	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
