iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	0.6917134523391724	0.53515625	256770	0.46484375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
1	0.70052170753479	0.5	256770	0.5	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
2	0.6969862580299377	0.47265625	256770	0.47265625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
3	0.6926220059394836	0.53125	256770	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
4	0.6921135187149048	0.52734375	256770	0.47265625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
5	0.700363039970398	0.47265625	256770	0.47265625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
6	0.6965293884277344	0.48828125	256770	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
7	0.6925274133682251	0.51953125	256770	0.48046875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
8	0.6932166814804077	0.48828125	256770	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
9	0.6924850940704346	0.5078125	256770	0.4921875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
10	0.6924170851707458	0.50390625	256770	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
11	0.6928834319114685	0.49609375	256770	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
12	0.6926875114440918	0.5	256770	0.5	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
13	0.6940333247184753	0.48828125	256770	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
14	0.694860577583313	0.46484375	256770	0.46484375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
15	0.6922992467880249	0.48828125	256770	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
16	0.6917344331741333	0.68359375	256770	0.48046875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
17	0.692241370677948	0.51171875	256770	0.47265625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
18	0.6914629936218262	0.5703125	256770	0.484375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
19	0.6917129158973694	0.53125	256770	0.484375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
20	0.6909332871437073	0.69921875	256770	0.44140625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
21	0.6907068490982056	0.69140625	256770	0.48046875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
