iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	1.1004911661148071	0.2890625	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
1	1.0962365865707397	0.35546875	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
2	1.1090294122695923	0.30859375	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
3	1.1061819791793823	0.30859375	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
4	1.0994642972946167	0.3984375	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
5	1.0971243381500244	0.38671875	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
6	1.099364161491394	0.3125	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
7	1.0961549282073975	0.34375	76675	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
8	1.0959945917129517	0.3671875	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
9	1.0972650051116943	0.33984375	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
10	1.0951157808303833	0.3671875	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
11	1.0985548496246338	0.31640625	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
12	1.101784348487854	0.29296875	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
13	1.0930389165878296	0.35546875	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
14	1.0951484441757202	0.36328125	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
15	1.0897326469421387	0.3828125	76675	0.26953125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
16	1.0930734872817993	0.33203125	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
17	1.092676043510437	0.37109375	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
18	1.086573839187622	0.3515625	76675	0.265625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
19	1.1007946729660034	0.3359375	76675	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
20	1.1016206741333008	0.29296875	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
21	1.0918593406677246	0.3359375	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
22	1.0860676765441895	0.4921875	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
23	1.096022605895996	0.3671875	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
24	1.0899444818496704	0.40234375	76675	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
25	1.0887757539749146	0.3828125	76675	0.328125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
26	1.0836999416351318	0.43359375	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
27	1.0775108337402344	0.4296875	76675	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
28	1.0786272287368774	0.4609375	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
29	1.0733665227890015	0.4140625	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
30	1.079355001449585	0.390625	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
31	1.0710880756378174	0.390625	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
32	1.0688557624816895	0.44921875	76675	0.28515625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
33	1.0676668882369995	0.44140625	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
34	1.0917772054672241	0.33984375	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
35	1.0870654582977295	0.37890625	76675	0.28515625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
36	1.0585294961929321	0.3828125	76675	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
37	1.072544813156128	0.39453125	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
38	1.0828698873519897	0.375	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
39	1.0694819688796997	0.38671875	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
40	1.0592750310897827	0.3671875	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
41	1.0686125755310059	0.3984375	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
42	1.0908071994781494	0.36328125	76675	0.28125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
43	1.070514440536499	0.390625	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
44	1.0523028373718262	0.4296875	76675	0.28125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
45	1.0488144159317017	0.46484375	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
46	1.0473846197128296	0.453125	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
47	1.0483617782592773	0.41796875	76675	0.33203125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
48	1.0531734228134155	0.3984375	76675	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
49	1.0285470485687256	0.44921875	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
50	1.0388340950012207	0.4140625	76675	0.2734375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
51	1.0351886749267578	0.4609375	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
52	1.0657768249511719	0.41015625	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
53	1.073477029800415	0.375	76675	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
54	1.0592468976974487	0.390625	76675	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
55	1.008975863456726	0.4765625	76675	0.28125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
56	1.058351993560791	0.4375	76675	0.28125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
57	1.10539972782135	0.37109375	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
58	1.0419756174087524	0.390625	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
59	1.0458974838256836	0.43359375	76675	0.23828125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
60	1.0306683778762817	0.43359375	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
61	1.0237128734588623	0.4609375	76675	0.3203125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
62	1.0047019720077515	0.4921875	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
63	1.0451560020446777	0.48828125	76675	0.28125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
64	1.0920274257659912	0.37109375	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
65	1.0996004343032837	0.3515625	76675	0.3203125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
66	1.063907265663147	0.4296875	76675	0.28125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
67	1.0218455791473389	0.4921875	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
68	1.0832017660140991	0.40625	76675	0.3203125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
69	1.0247212648391724	0.47265625	76675	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
70	1.0272436141967773	0.42578125	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
71	1.047338843345642	0.45703125	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
72	1.0118571519851685	0.48046875	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
73	1.0124201774597168	0.48828125	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
74	1.0468908548355103	0.4609375	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
75	1.0708868503570557	0.42578125	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
76	1.0305356979370117	0.41796875	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
77	1.066206455230713	0.38671875	76675	0.28515625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
78	1.0529334545135498	0.38671875	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
79	1.0950871706008911	0.3828125	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
80	1.065279483795166	0.41796875	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
81	1.0346893072128296	0.41015625	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
82	1.0706530809402466	0.3984375	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
83	1.0612996816635132	0.4375	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
84	1.0399317741394043	0.43359375	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
85	1.0225272178649902	0.421875	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
86	1.0436373949050903	0.4140625	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
87	1.058118462562561	0.46875	76675	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
88	1.050830364227295	0.43359375	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
89	1.0363569259643555	0.46484375	76675	0.28515625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
90	1.0554633140563965	0.41796875	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
91	1.057276725769043	0.453125	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
92	1.0524033308029175	0.421875	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
93	1.0888367891311646	0.37890625	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
94	1.032141089439392	0.4453125	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
95	1.0222094058990479	0.44140625	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
96	1.0358115434646606	0.44140625	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
97	1.0857961177825928	0.4140625	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
98	1.0059466361999512	0.421875	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
99	1.021693468093872	0.4609375	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
100	1.0402681827545166	0.4453125	76675	0.33203125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
101	1.0262584686279297	0.48046875	76675	0.28125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
102	1.0317320823669434	0.453125	76675	0.33203125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
103	1.0391325950622559	0.37109375	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
104	1.065899133682251	0.41015625	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
105	1.0645045042037964	0.41796875	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
106	1.0551955699920654	0.3984375	76675	0.328125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
107	1.0214170217514038	0.46484375	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
108	1.0568927526474	0.4140625	76675	0.265625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
109	1.0059398412704468	0.46875	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
110	1.076753854751587	0.44140625	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
111	1.0229740142822266	0.44140625	76675	0.25	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
112	1.0241738557815552	0.45703125	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
113	1.0337986946105957	0.43359375	76675	0.3203125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
114	1.0339468717575073	0.453125	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
115	1.052286148071289	0.45703125	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
116	1.0610125064849854	0.4375	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
117	1.1020817756652832	0.390625	76675	0.28125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
118	1.0359702110290527	0.37109375	76675	0.28515625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
119	1.0117887258529663	0.44140625	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
120	1.066896677017212	0.4140625	76675	0.26953125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
121	1.0767176151275635	0.42578125	76675	0.26953125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
122	1.0543012619018555	0.421875	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
123	1.0560530424118042	0.421875	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
124	1.0441339015960693	0.4375	76675	0.3203125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
125	1.04544997215271	0.4296875	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
126	1.0253605842590332	0.45703125	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
127	1.0474416017532349	0.41015625	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
128	1.0361909866333008	0.484375	76675	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
129	1.05048406124115	0.39453125	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
130	1.0233687162399292	0.44921875	76675	0.28515625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
131	1.0358659029006958	0.453125	76675	0.328125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
132	1.0518182516098022	0.421875	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
133	1.052126169204712	0.41015625	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
134	1.0606547594070435	0.421875	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
135	1.0243003368377686	0.44140625	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
136	1.0311238765716553	0.4453125	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
137	1.0607930421829224	0.3828125	76675	0.328125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
138	1.0404940843582153	0.47265625	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
139	1.0282611846923828	0.41796875	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
140	1.0510497093200684	0.4609375	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
141	1.0703601837158203	0.39453125	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
142	1.0732841491699219	0.390625	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
143	1.0543603897094727	0.41796875	76675	0.3203125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
144	1.0424929857254028	0.44140625	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
145	1.038188099861145	0.41015625	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
146	1.0678796768188477	0.42578125	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
147	1.0423310995101929	0.40625	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
148	1.0185500383377075	0.44140625	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
149	1.034690022468567	0.44140625	76675	0.28125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
150	1.043033242225647	0.41015625	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
151	1.0107367038726807	0.4921875	76675	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
152	1.0671162605285645	0.375	76675	0.29296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
153	1.0392653942108154	0.4296875	76675	0.28515625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
154	1.0890754461288452	0.35546875	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
155	1.0115770101547241	0.4375	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
156	1.0361276865005493	0.4453125	76675	0.26171875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
157	1.0477627515792847	0.40234375	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
158	1.050663709640503	0.4375	76675	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
159	1.0531564950942993	0.40625	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
160	1.0662338733673096	0.40234375	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
161	1.0611929893493652	0.4296875	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
162	1.0408563613891602	0.4375	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
163	1.0504684448242188	0.4296875	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
164	1.0642000436782837	0.40625	76675	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
165	1.0385308265686035	0.45703125	76675	0.328125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
166	1.0451526641845703	0.45703125	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
167	1.02521812915802	0.484375	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
168	1.0499004125595093	0.4140625	76675	0.33203125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
169	1.0491260290145874	0.41796875	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
170	1.0857487916946411	0.3984375	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
