iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	1.1772724390029907	0.359375	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
1	1.418343186378479	0.33984375	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
2	1.1682652235031128	0.375	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
3	1.1116859912872314	0.359375	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
4	1.173742413520813	0.3203125	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
5	1.1577879190444946	0.35546875	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
6	1.141422152519226	0.3203125	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
7	1.1032201051712036	0.32421875	137603	0.27734375	max		256		1	128	False			0.001	8	100	36			mlp	True
8	1.0894050598144531	0.41796875	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
9	1.128709316253662	0.328125	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
10	1.0983169078826904	0.421875	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
11	1.1195447444915771	0.33203125	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
12	1.0869563817977905	0.3984375	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
13	1.0875587463378906	0.3671875	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
14	1.1202760934829712	0.296875	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
15	1.0953633785247803	0.33984375	137603	0.26953125	max		256		1	128	False			0.001	8	100	36			mlp	True
16	1.08397376537323	0.33984375	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
17	1.0978190898895264	0.3359375	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
18	1.083661437034607	0.34765625	137603	0.265625	max		256		1	128	False			0.001	8	100	36			mlp	True
19	1.0800260305404663	0.3671875	137603	0.27734375	max		256		1	128	False			0.001	8	100	36			mlp	True
20	1.0785198211669922	0.44921875	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
21	1.0614798069000244	0.4296875	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
22	1.1182210445404053	0.33984375	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
23	1.1282718181610107	0.34375	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
24	1.0897637605667114	0.40234375	137603	0.32421875	max		256		1	128	False			0.001	8	100	36			mlp	True
25	1.0902312994003296	0.38671875	137603	0.328125	max		256		1	128	False			0.001	8	100	36			mlp	True
26	1.0780434608459473	0.3515625	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
27	1.0917284488677979	0.328125	137603	0.32421875	max		256		1	128	False			0.001	8	100	36			mlp	True
28	1.0909103155136108	0.3359375	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
29	1.0727459192276	0.3515625	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
30	1.0629494190216064	0.4140625	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
31	1.0430234670639038	0.45703125	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
32	1.070438265800476	0.40234375	137603	0.28515625	max		256		1	128	False			0.001	8	100	36			mlp	True
33	1.043197751045227	0.46484375	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
34	1.0746994018554688	0.40625	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
35	1.0661054849624634	0.44921875	137603	0.28515625	max		256		1	128	False			0.001	8	100	36			mlp	True
36	1.0548864603042603	0.38671875	137603	0.27734375	max		256		1	128	False			0.001	8	100	36			mlp	True
37	1.0482491254806519	0.390625	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
38	1.0523406267166138	0.3671875	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
39	1.0387063026428223	0.375	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
40	1.0508842468261719	0.43359375	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
41	1.0189646482467651	0.4921875	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
42	1.1078859567642212	0.359375	137603	0.28125	max		256		1	128	False			0.001	8	100	36			mlp	True
43	1.07306969165802	0.390625	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
44	1.0197830200195312	0.484375	137603	0.28125	max		256		1	128	False			0.001	8	100	36			mlp	True
45	1.0222620964050293	0.453125	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
46	1.036702036857605	0.44140625	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
47	1.0390539169311523	0.4453125	137603	0.33203125	max		256		1	128	False			0.001	8	100	36			mlp	True
48	1.0364165306091309	0.45703125	137603	0.32421875	max		256		1	128	False			0.001	8	100	36			mlp	True
49	1.0784807205200195	0.3984375	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
50	1.015828013420105	0.46484375	137603	0.2734375	max		256		1	128	False			0.001	8	100	36			mlp	True
51	1.0415118932724	0.3984375	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
52	1.0377514362335205	0.453125	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
53	1.015007734298706	0.453125	137603	0.32421875	max		256		1	128	False			0.001	8	100	36			mlp	True
54	1.0565825700759888	0.47265625	137603	0.32421875	max		256		1	128	False			0.001	8	100	36			mlp	True
55	0.9957159161567688	0.51171875	137603	0.28125	max		256		1	128	False			0.001	8	100	36			mlp	True
56	1.0235451459884644	0.44140625	137603	0.28125	max		256		1	128	False			0.001	8	100	36			mlp	True
57	1.0523182153701782	0.41015625	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
58	1.041870355606079	0.4375	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
59	1.0057353973388672	0.42578125	137603	0.23828125	max		256		1	128	False			0.001	8	100	36			mlp	True
60	1.0134494304656982	0.42578125	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
61	1.003892183303833	0.4375	137603	0.3203125	max		256		1	128	False			0.001	8	100	36			mlp	True
62	0.9460395574569702	0.53515625	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
63	0.9606952667236328	0.51171875	137603	0.28125	max		256		1	128	False			0.001	8	100	36			mlp	True
64	1.0627483129501343	0.4296875	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
65	1.0161741971969604	0.45703125	137603	0.3203125	max		256		1	128	False			0.001	8	100	36			mlp	True
66	1.053587555885315	0.421875	137603	0.28125	max		256		1	128	False			0.001	8	100	36			mlp	True
67	0.9968353509902954	0.45703125	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
68	1.0252809524536133	0.45703125	137603	0.3203125	max		256		1	128	False			0.001	8	100	36			mlp	True
69	1.0154865980148315	0.47265625	137603	0.32421875	max		256		1	128	False			0.001	8	100	36			mlp	True
70	1.0318851470947266	0.4140625	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
71	0.9657593369483948	0.484375	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
72	1.016745686531067	0.43359375	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
73	1.0687566995620728	0.41015625	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
74	0.9910725951194763	0.47265625	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
75	0.9399672746658325	0.51953125	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
76	1.0055763721466064	0.4296875	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
77	0.943297266960144	0.5078125	137603	0.28515625	max		256		1	128	False			0.001	8	100	36			mlp	True
78	1.0197486877441406	0.44140625	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
79	0.9516963362693787	0.5	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
80	0.9997765421867371	0.47265625	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
81	0.9874078631401062	0.47265625	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
82	0.9084473848342896	0.5234375	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
83	1.0039995908737183	0.46484375	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
84	0.9833666086196899	0.45703125	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
85	1.0228933095932007	0.484375	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
86	0.9837653636932373	0.484375	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
87	0.9816382527351379	0.4453125	137603	0.27734375	max		256		1	128	False			0.001	8	100	36			mlp	True
88	0.9925611019134521	0.51171875	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
89	0.9669890999794006	0.51171875	137603	0.28515625	max		256		1	128	False			0.001	8	100	36			mlp	True
