iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	0.693666398525238	0.4765625	76546	0.4765625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
1	0.6946288347244263	0.48828125	76546	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
2	0.6952508091926575	0.4765625	76546	0.4765625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
3	0.6927673816680908	0.52734375	76546	0.48046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
4	0.6928343176841736	0.55859375	76546	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
5	0.6928187608718872	0.48046875	76546	0.48046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
6	0.6927534937858582	0.49609375	76546	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
7	0.6929668188095093	0.46875	76546	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
8	0.6923317909240723	0.6328125	76546	0.4921875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
9	0.6920889616012573	0.5703125	76546	0.4765625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
10	0.6917316913604736	0.50390625	76546	0.4765625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
11	0.6908665895462036	0.59765625	76546	0.421875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
12	0.6917191743850708	0.5	76546	0.5	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
13	0.690421462059021	0.515625	76546	0.484375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
14	0.6926411390304565	0.4921875	76546	0.4921875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
15	0.6912106275558472	0.5	76546	0.5	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
16	0.6913078427314758	0.48828125	76546	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
17	0.6922064423561096	0.4453125	76546	0.4453125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
18	0.6897493600845337	0.7109375	76546	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
19	0.6879728436470032	0.609375	76546	0.44140625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
20	0.6909992098808289	0.4921875	76546	0.4921875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
21	0.6867309808731079	0.54296875	76546	0.45703125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
22	0.6889628171920776	0.52734375	76546	0.47265625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
23	0.690201997756958	0.48828125	76546	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
24	0.6890506148338318	0.50390625	76546	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
25	0.686507523059845	0.71875	76546	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
26	0.6832255721092224	0.55859375	76546	0.44921875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
27	0.6911703944206238	0.49609375	76546	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
28	0.6923671364784241	0.49609375	76546	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
29	0.6894347667694092	0.50390625	76546	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
30	0.6906061768531799	0.4609375	76546	0.4609375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
31	0.685607373714447	0.58984375	76546	0.4921875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
32	0.6844304203987122	0.55859375	76546	0.484375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
33	0.6798844933509827	0.54296875	76546	0.45703125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
