iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	0.695357620716095	0.46484375	76546	0.46484375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
1	0.6934240460395813	0.5	76546	0.5	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
2	0.6959209442138672	0.47265625	76546	0.47265625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
3	0.6947135925292969	0.46875	76546	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
4	0.6926513910293579	0.54296875	76546	0.47265625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
5	0.6955321431159973	0.47265625	76546	0.47265625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
6	0.6944486498832703	0.48828125	76546	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
7	0.6919748187065125	0.51953125	76546	0.48046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
8	0.6933277249336243	0.48828125	76546	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
9	0.6919783353805542	0.5	76546	0.4921875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
10	0.6916152834892273	0.51171875	76546	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
11	0.691222071647644	0.49609375	76546	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
12	0.6915969848632812	0.5	76546	0.5	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
13	0.6917128562927246	0.48828125	76546	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
14	0.692723274230957	0.46484375	76546	0.46484375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
15	0.6900520920753479	0.5234375	76546	0.48828125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
16	0.6906831860542297	0.5625	76546	0.48046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
17	0.6908645033836365	0.5234375	76546	0.47265625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
18	0.6890042424201965	0.69921875	76546	0.484375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
19	0.6878045201301575	0.62890625	76546	0.484375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
20	0.6918644905090332	0.4375	76546	0.44140625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
21	0.6882072687149048	0.5234375	76546	0.48046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
22	0.687382698059082	0.671875	76546	0.44140625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
23	0.6858957409858704	0.640625	76546	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
24	0.6862906217575073	0.640625	76546	0.4609375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
25	0.6836222410202026	0.7109375	76546	0.49609375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
26	0.6817577481269836	0.6796875	76546	0.4140625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
27	0.6891961097717285	0.46875	76546	0.453125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
28	0.6892474293708801	0.49609375	76546	0.4453125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
29	0.6781978607177734	0.7109375	76546	0.46875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
