iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	1.1995915174484253	0.28515625	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
1	1.2478053569793701	0.37890625	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
2	1.3031518459320068	0.37890625	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
3	1.1874189376831055	0.328125	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
4	1.0665056705474854	0.40625	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
5	1.149440884590149	0.33203125	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
6	1.2035709619522095	0.3125	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
7	1.1117987632751465	0.33984375	137603	0.27734375	max		256		1	128	False			0.001	8	100	36			mlp	True
8	1.0781487226486206	0.36328125	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
9	1.0560303926467896	0.41796875	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
10	1.0624605417251587	0.4296875	137603	0.3125	max		256		1	128	False			0.001	8	100	36			mlp	True
11	1.062401294708252	0.4296875	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
12	1.0497965812683105	0.4609375	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
13	1.0888875722885132	0.43359375	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
14	1.0864770412445068	0.4296875	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
15	1.0743768215179443	0.40234375	137603	0.26953125	max		256		1	128	False			0.001	8	100	36			mlp	True
16	1.0148471593856812	0.484375	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
17	1.0441838502883911	0.40234375	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
18	1.0142256021499634	0.4375	137603	0.265625	max		256		1	128	False			0.001	8	100	36			mlp	True
19	1.0794768333435059	0.37890625	137603	0.27734375	max		256		1	128	False			0.001	8	100	36			mlp	True
20	1.1021586656570435	0.33203125	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
21	1.0465441942214966	0.41015625	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
22	1.0536748170852661	0.44921875	137603	0.29296875	max		256		1	128	False			0.001	8	100	36			mlp	True
23	1.0353524684906006	0.46875	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
24	1.0449261665344238	0.44140625	137603	0.32421875	max		256		1	128	False			0.001	8	100	36			mlp	True
25	1.0446443557739258	0.41015625	137603	0.328125	max		256		1	128	False			0.001	8	100	36			mlp	True
26	1.0526033639907837	0.48828125	137603	0.3046875	max		256		1	128	False			0.001	8	100	36			mlp	True
27	1.0386908054351807	0.48828125	137603	0.32421875	max		256		1	128	False			0.001	8	100	36			mlp	True
28	1.0579863786697388	0.44140625	137603	0.296875	max		256		1	128	False			0.001	8	100	36			mlp	True
29	1.0120151042938232	0.46875	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
30	1.017984390258789	0.47265625	137603	0.30078125	max		256		1	128	False			0.001	8	100	36			mlp	True
31	1.0163370370864868	0.4296875	137603	0.30859375	max		256		1	128	False			0.001	8	100	36			mlp	True
32	0.9947746992111206	0.48046875	137603	0.28515625	max		256		1	128	False			0.001	8	100	36			mlp	True
33	1.0021358728408813	0.55078125	137603	0.31640625	max		256		1	128	False			0.001	8	100	36			mlp	True
34	1.0201425552368164	0.48046875	137603	0.2890625	max		256		1	128	False			0.001	8	100	36			mlp	True
35	0.9886165261268616	0.4765625	137603	0.28515625	max		256		1	128	False			0.001	8	100	36			mlp	True
