iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	0.8534903526306152	0.48046875	137474	0.4765625	max		256		1	128	False			0.001	8	100	36			mlp	True
1	1.114914059638977	0.48828125	137474	0.48828125	max		256		1	128	False			0.001	8	100	36			mlp	True
2	0.8770161867141724	0.4765625	137474	0.4765625	max		256		1	128	False			0.001	8	100	36			mlp	True
3	0.6856650114059448	0.5625	137474	0.48046875	max		256		1	128	False			0.001	8	100	36			mlp	True
4	0.8278830647468567	0.46875	137474	0.46875	max		256		1	128	False			0.001	8	100	36			mlp	True
5	0.8025677800178528	0.51953125	137474	0.48046875	max		256		1	128	False			0.001	8	100	36			mlp	True
6	0.7405040860176086	0.50390625	137474	0.49609375	max		256		1	128	False			0.001	8	100	36			mlp	True
7	0.6849570274353027	0.54296875	137474	0.46875	max		256		1	128	False			0.001	8	100	36			mlp	True
8	0.6892943382263184	0.5234375	137474	0.4921875	max		256		1	128	False			0.001	8	100	36			mlp	True
9	0.708979070186615	0.5234375	137474	0.4765625	max		256		1	128	False			0.001	8	100	36			mlp	True
10	0.7582456469535828	0.4765625	137474	0.4765625	max		256		1	128	False			0.001	8	100	36			mlp	True
11	0.6781890392303467	0.578125	137474	0.421875	max		256		1	128	False			0.001	8	100	36			mlp	True
12	0.7127379179000854	0.51953125	137474	0.5	max		256		1	128	False			0.001	8	100	36			mlp	True
13	0.6923751831054688	0.55859375	137474	0.484375	max		256		1	128	False			0.001	8	100	36			mlp	True
14	0.6772772073745728	0.609375	137474	0.4921875	max		256		1	128	False			0.001	8	100	36			mlp	True
15	0.6893511414527893	0.5234375	137474	0.5	max		256		1	128	False			0.001	8	100	36			mlp	True
16	0.6778364777565002	0.55078125	137474	0.48828125	max		256		1	128	False			0.001	8	100	36			mlp	True
17	0.683607280254364	0.57421875	137474	0.4453125	max		256		1	128	False			0.001	8	100	36			mlp	True
18	0.7093819379806519	0.48828125	137474	0.46875	max		256		1	128	False			0.001	8	100	36			mlp	True
19	0.663658618927002	0.59765625	137474	0.44140625	max		256		1	128	False			0.001	8	100	36			mlp	True
20	0.6689525842666626	0.578125	137474	0.4921875	max		256		1	128	False			0.001	8	100	36			mlp	True
21	0.6705424785614014	0.5546875	137474	0.45703125	max		256		1	128	False			0.001	8	100	36			mlp	True
22	0.6885801553726196	0.55078125	137474	0.47265625	max		256		1	128	False			0.001	8	100	36			mlp	True
23	0.676013171672821	0.5390625	137474	0.48828125	max		256		1	128	False			0.001	8	100	36			mlp	True
24	0.6811792254447937	0.53515625	137474	0.49609375	max		256		1	128	False			0.001	8	100	36			mlp	True
25	0.6543933153152466	0.62109375	137474	0.46875	max		256		1	128	False			0.001	8	100	36			mlp	True
26	0.6664704084396362	0.6171875	137474	0.44921875	max		256		1	128	False			0.001	8	100	36			mlp	True
27	0.6766480803489685	0.578125	137474	0.49609375	max		256		1	128	False			0.001	8	100	36			mlp	True
28	0.6731817126274109	0.60546875	137474	0.49609375	max		256		1	128	False			0.001	8	100	36			mlp	True
29	0.6619659662246704	0.6171875	137474	0.49609375	max		256		1	128	False			0.001	8	100	36			mlp	True
30	0.6585054397583008	0.6328125	137474	0.4609375	max		256		1	128	False			0.001	8	100	36			mlp	True
31	0.6584855318069458	0.58984375	137474	0.4921875	max		256		1	128	False			0.001	8	100	36			mlp	True
32	0.6791674494743347	0.5390625	137474	0.484375	max		256		1	128	False			0.001	8	100	36			mlp	True
33	0.6741048097610474	0.55078125	137474	0.45703125	max		256		1	128	False			0.001	8	100	36			mlp	True
34	0.6762574911117554	0.5390625	137474	0.48828125	max		256		1	128	False			0.001	8	100	36			mlp	True
35	0.6718268394470215	0.55859375	137474	0.484375	max		256		1	128	False			0.001	8	100	36			mlp	True
36	0.6485326290130615	0.65625	137474	0.4765625	max		256		1	128	False			0.001	8	100	36			mlp	True
37	0.6556061506271362	0.59375	137474	0.453125	max		256		1	128	False			0.001	8	100	36			mlp	True
38	0.6485658288002014	0.6171875	137474	0.48828125	max		256		1	128	False			0.001	8	100	36			mlp	True
39	0.6586201190948486	0.61328125	137474	0.46875	max		256		1	128	False			0.001	8	100	36			mlp	True
40	0.6606714129447937	0.63671875	137474	0.49609375	max		256		1	128	False			0.001	8	100	36			mlp	True
41	0.6521560549736023	0.6328125	137474	0.48046875	max		256		1	128	False			0.001	8	100	36			mlp	True
42	0.6374775171279907	0.6953125	137474	0.48828125	max		256		1	128	False			0.001	8	100	36			mlp	True
43	0.6389641165733337	0.6484375	137474	0.4921875	max		256		1	128	False			0.001	8	100	36			mlp	True
44	0.6496089100837708	0.62890625	137474	0.49609375	max		256		1	128	False			0.001	8	100	36			mlp	True
45	0.637660801410675	0.60546875	137474	0.48046875	max		256		1	128	False			0.001	8	100	36			mlp	True
46	0.6323553323745728	0.6640625	137474	0.45703125	max		256		1	128	False			0.001	8	100	36			mlp	True
47	0.626732587814331	0.67578125	137474	0.48828125	max		256		1	128	False			0.001	8	100	36			mlp	True
48	0.6418167352676392	0.59765625	137474	0.47265625	max		256		1	128	False			0.001	8	100	36			mlp	True
49	0.6569535136222839	0.57421875	137474	0.484375	max		256		1	128	False			0.001	8	100	36			mlp	True
50	0.6232659816741943	0.6875	137474	0.46484375	max		256		1	128	False			0.001	8	100	36			mlp	True
51	0.6231481432914734	0.69140625	137474	0.46484375	max		256		1	128	False			0.001	8	100	36			mlp	True
52	0.629883348941803	0.65234375	137474	0.4765625	max		256		1	128	False			0.001	8	100	36			mlp	True
53	0.6197454333305359	0.64453125	137474	0.45703125	max		256		1	128	False			0.001	8	100	36			mlp	True
54	0.6309744715690613	0.609375	137474	0.4765625	max		256		1	128	False			0.001	8	100	36			mlp	True
55	0.6248518824577332	0.65234375	137474	0.484375	max		256		1	128	False			0.001	8	100	36			mlp	True
