iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	0.8109330534934998	0.453125	137603	0.46484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
1	1.4540811777114868	0.5	137603	0.5	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
2	1.0348384380340576	0.47265625	137603	0.47265625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
3	0.7039970755577087	0.515625	137603	0.46875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
4	0.8487280011177063	0.52734375	137603	0.47265625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
5	1.0016549825668335	0.47265625	137603	0.47265625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
6	0.897916316986084	0.48828125	137603	0.48828125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
7	0.7366189360618591	0.51953125	137603	0.48046875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
8	0.6804104447364807	0.53515625	137603	0.48828125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
9	0.6958798170089722	0.515625	137603	0.4921875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
10	0.7372174859046936	0.50390625	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
11	0.7868698239326477	0.49609375	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
12	0.7667706608772278	0.5	137603	0.5	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
13	0.7550117373466492	0.48828125	137603	0.48828125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
14	0.7191573977470398	0.46484375	137603	0.46484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
15	0.6884109377861023	0.55859375	137603	0.48828125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
16	0.6881424188613892	0.546875	137603	0.48046875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
17	0.7087859511375427	0.46875	137603	0.47265625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
18	0.698226273059845	0.515625	137603	0.484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
19	0.719296932220459	0.484375	137603	0.484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
20	0.6874512434005737	0.55859375	137603	0.44140625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
21	0.6950388550758362	0.515625	137603	0.48046875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
22	0.7261356115341187	0.4453125	137603	0.44140625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
23	0.682671308517456	0.5234375	137603	0.46875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
24	0.6773744225502014	0.5546875	137603	0.4609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
25	0.6761230230331421	0.55859375	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
26	0.6902695298194885	0.5078125	137603	0.4140625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
27	0.6772030591964722	0.61328125	137603	0.453125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
28	0.6665899753570557	0.5859375	137603	0.4453125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
29	0.6682735085487366	0.578125	137603	0.46875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
30	0.6940102577209473	0.5078125	137603	0.484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
31	0.6818892359733582	0.52734375	137603	0.484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
32	0.6863369345664978	0.54296875	137603	0.484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
33	0.678949236869812	0.6015625	137603	0.484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
34	0.6684260368347168	0.62109375	137603	0.4921875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
35	0.6668115854263306	0.59765625	137603	0.5	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
36	0.6802027821540833	0.5546875	137603	0.4921875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
37	0.6897942423820496	0.47265625	137603	0.453125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
38	0.6737270355224609	0.56640625	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
39	0.6765042543411255	0.55078125	137603	0.46875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
40	0.6641897559165955	0.61328125	137603	0.453125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
41	0.6738078594207764	0.59375	137603	0.46875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
42	0.675439715385437	0.59765625	137603	0.453125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
43	0.6667940020561218	0.625	137603	0.48828125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
44	0.6597411036491394	0.61328125	137603	0.4453125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
45	0.6843023300170898	0.57421875	137603	0.48046875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
46	0.6735013723373413	0.55078125	137603	0.48828125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
47	0.6717579960823059	0.578125	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
48	0.6593905091285706	0.6328125	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
49	0.6592051386833191	0.6171875	137603	0.4921875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
50	0.6543900966644287	0.63671875	137603	0.5	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
51	0.6670739650726318	0.5703125	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
52	0.6760492920875549	0.58203125	137603	0.4296875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
53	0.6754414439201355	0.55078125	137603	0.4375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
54	0.6629417538642883	0.58203125	137603	0.4609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
55	0.6635631322860718	0.60546875	137603	0.46484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
56	0.6579931378364563	0.62890625	137603	0.4921875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
57	0.659554660320282	0.6171875	137603	0.5	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
58	0.6415577530860901	0.67578125	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
59	0.6578661203384399	0.6328125	137603	0.48828125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
60	0.6732506155967712	0.56640625	137603	0.4453125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
61	0.6517180800437927	0.625	137603	0.5	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
62	0.6451314091682434	0.63671875	137603	0.45703125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
63	0.648862361907959	0.6015625	137603	0.46875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
64	0.6447255611419678	0.61328125	137603	0.4453125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
65	0.6628758311271667	0.60546875	137603	0.484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
66	0.6667447686195374	0.58203125	137603	0.484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
67	0.6442094445228577	0.6171875	137603	0.484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
68	0.6605448126792908	0.59375	137603	0.47265625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
69	0.6241608262062073	0.67578125	137603	0.46484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
70	0.6161196231842041	0.6640625	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
71	0.6366199254989624	0.65234375	137603	0.43359375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
72	0.6536622047424316	0.61328125	137603	0.4765625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
73	0.6426174640655518	0.640625	137603	0.4921875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
74	0.6337950825691223	0.62890625	137603	0.47265625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
75	0.6335358023643494	0.625	137603	0.46484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
76	0.6037007570266724	0.6953125	137603	0.484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
77	0.6446573138237	0.61328125	137603	0.47265625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
78	0.625680148601532	0.6640625	137603	0.45703125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
79	0.6237413883209229	0.63671875	137603	0.484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
80	0.6092076897621155	0.6875	137603	0.45703125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
81	0.6255268454551697	0.65625	137603	0.46484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
82	0.627151608467102	0.60546875	137603	0.4765625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
83	0.6237240433692932	0.65234375	137603	0.48828125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
84	0.606849193572998	0.7109375	137603	0.47265625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
85	0.626844048500061	0.68359375	137603	0.4765625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
86	0.596341073513031	0.6640625	137603	0.48828125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
87	0.6227439045906067	0.6640625	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
88	0.6010776162147522	0.68359375	137603	0.45703125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
89	0.5854310989379883	0.6953125	137603	0.48828125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
90	0.5750132203102112	0.73828125	137603	0.4609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
91	0.5931702256202698	0.69140625	137603	0.47265625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
92	0.5860095620155334	0.71875	137603	0.46484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
93	0.5941197872161865	0.71875	137603	0.45703125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
94	0.5940825343132019	0.671875	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
95	0.5740432739257812	0.6953125	137603	0.48828125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
96	0.5904315114021301	0.71875	137603	0.4609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
97	0.601015031337738	0.68359375	137603	0.47265625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
98	0.5625978708267212	0.73046875	137603	0.4921875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
99	0.6004236340522766	0.66796875	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
100	0.5609383583068848	0.69921875	137603	0.49609375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
101	0.5782811045646667	0.6875	137603	0.46484375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
102	0.5345830917358398	0.7265625	137603	0.44140625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
103	0.5824747681617737	0.69921875	137603	0.4453125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
104	0.6088201403617859	0.703125	137603	0.5	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
105	0.5526713132858276	0.7265625	137603	0.48046875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
