iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	1.225367784500122	0.3125	137732	0.3125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
1	1.3684568405151367	0.375	137732	0.3125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
2	1.2314531803131104	0.33984375	137732	0.28515625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
3	1.1361676454544067	0.328125	137732	0.3046875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
4	1.1630699634552002	0.3125	137732	0.31640625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
5	1.1894590854644775	0.328125	137732	0.32421875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
6	1.117633581161499	0.375	137732	0.32421875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
7	1.1120274066925049	0.3203125	137732	0.3125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
8	1.0806028842926025	0.34375	137732	0.265625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
9	1.0679844617843628	0.41015625	137732	0.3203125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
10	1.1026188135147095	0.37890625	137732	0.3125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
11	1.0830436944961548	0.40625	137732	0.27734375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
12	1.1022694110870361	0.3828125	137732	0.296875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
13	1.0624644756317139	0.43359375	137732	0.30859375	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
14	1.061724066734314	0.41796875	137732	0.296875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
15	1.0792850255966187	0.37109375	137732	0.30078125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
16	1.0594539642333984	0.375	137732	0.296875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
17	1.0494438409805298	0.39453125	137732	0.32421875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
18	1.054138422012329	0.3984375	137732	0.3203125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
19	1.0402413606643677	0.3828125	137732	0.25	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
20	1.0459765195846558	0.42578125	137732	0.33203125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
21	1.0589793920516968	0.37109375	137732	0.2890625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
22	1.0053565502166748	0.5078125	137732	0.32421875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
23	1.0557602643966675	0.40625	137732	0.31640625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
24	1.0480108261108398	0.4296875	137732	0.296875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
25	1.0258804559707642	0.4453125	137732	0.31640625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
26	1.030301570892334	0.4453125	137732	0.296875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
27	1.0431456565856934	0.42578125	137732	0.31640625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
28	1.0337798595428467	0.3828125	137732	0.31640625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
29	1.0284464359283447	0.4609375	137732	0.28515625	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
30	1.0364747047424316	0.45703125	137732	0.29296875	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
31	1.0592454671859741	0.4609375	137732	0.3203125	max	False	256	2	1	128	False	32	5	0.001	8	100	36			mlp	True
