iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	1.1096336841583252	0.32421875	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
1	1.0974559783935547	0.37109375	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
2	1.0982111692428589	0.33203125	76675	0.28515625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
3	1.0997159481048584	0.34375	76675	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
4	1.10073983669281	0.31640625	76675	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
5	1.0973894596099854	0.33984375	76675	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
6	1.0975812673568726	0.40234375	76675	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
7	1.097480058670044	0.34765625	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
8	1.0979039669036865	0.3828125	76675	0.265625	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
9	1.0977656841278076	0.3203125	76675	0.3203125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
10	1.096062183380127	0.359375	76675	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
11	1.0926140546798706	0.3671875	76675	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
12	1.093620777130127	0.33203125	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
13	1.1019669771194458	0.33984375	76675	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
14	1.0916534662246704	0.33984375	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
15	1.0989813804626465	0.265625	76675	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
16	1.0918288230895996	0.42578125	76675	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	True	1		False
