iteration	train_loss	train_acc	n_params	class_imbalance	agg	batch_norm	batch_size	conv_layers	depth	hidden_size	include_dists	init_conv_dim	kernel_size	lr	n_heads	n_smps	n_snps	pool	stride	tokenizer	use_vit
0	1.1022297143936157	0.32421875	256899	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
1	1.1018158197402954	0.3125	256899	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
2	1.1030480861663818	0.33203125	256899	0.28515625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
3	1.0995194911956787	0.34375	256899	0.3046875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
4	1.1027647256851196	0.31640625	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
5	1.0984290838241577	0.33984375	256899	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
6	1.0987415313720703	0.328125	256899	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
7	1.0981171131134033	0.31640625	256899	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
8	1.0988370180130005	0.26953125	256899	0.265625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
9	1.0987217426300049	0.328125	256899	0.3203125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
10	1.0971806049346924	0.33984375	256899	0.3125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
11	1.0940288305282593	0.34765625	256899	0.27734375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
12	1.0944148302078247	0.359375	256899	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
13	1.1051254272460938	0.30859375	256899	0.30859375	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
14	1.093427062034607	0.35546875	256899	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
15	1.0991277694702148	0.328125	256899	0.30078125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
16	1.0953294038772583	0.3984375	256899	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
17	1.0953984260559082	0.3515625	256899	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
18	1.0971050262451172	0.32421875	256899	0.3203125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
19	1.1069623231887817	0.2578125	256899	0.25	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
20	1.0919091701507568	0.46484375	256899	0.33203125	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
21	1.0907448530197144	0.3359375	256899	0.2890625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
22	1.0951648950576782	0.34765625	256899	0.32421875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
23	1.0977160930633545	0.33203125	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
24	1.09037446975708	0.39453125	256899	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
25	1.0959116220474243	0.3359375	256899	0.31640625	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
26	1.0900027751922607	0.34375	256899	0.296875	max	False	256	2		128	False	32	5	0.001		100	36	False	1		False
